X,Y,NOMS,GROUPE,X_COORD,Y_COORD,icon_url
-4.01480714125393,5.42298011415789,14ème Arrondissement,Police,387573.62565,599514.28638,./0.png
-4.01490851445817,5.43621286587353,13ème Arrondissement,Police,387564.84611,600977.28027,./0.png
-4.02905393988587,5.43821896605908,32ème Arrondissement,Police,385997.97790,601201.71863,./0.png
-4.02370640500265,5.420411036197,21ème Arrondissement,Police,386587.12942,599231.91369,./0.png
-4.0204788434685,5.4273834300153,Brigade de gendarmerie,Gendarme,386946.03507,600002.16006,./0.png
-4.01269662303204,5.43246909646196,15ème Arrondissement,Police,387809.21962,600562.96922,./0.png
-4.0194532466656,5.43355331594771,Camp Commando,Gendarme,387060.81662,600684.09457,./0.png
-4.01674935974108,5.34915497409162,7ème Arrondissement,Police,387344.83598,591352.75788,./0.png
-4.02076483837653,5.34246569743521,GSPM 1ère Compagnie,Sapeur pompier,386898.64945,590613.94891,./0.png
-4.02562541535151,5.3464758672219,3ème Arrondissement,Police,386360.77714,591058.19772,./0.png
-4.02639367907883,5.35752085089986,Brigade de gendarmerie,Gendarme,386277.68515,592279.44281,./0.png
-4.02595273885371,5.36148784368109,27ème Arrondissement,Police,386327.27920,592717.94095,./0.png
-4.02263863617736,5.36784810700259,11ème Arrondissement,Police,386695.68476,593420.50014,./0.png
-4.03084136195605,5.31597006838669,Marine Nationale,Marine,385777.15058,587686.52462,./0.png
-4.04551223322029,5.34058624677242,28ème Arrondissement,Police,384155.97283,590410.76544,./0.png
-4.03490695605458,5.34786509536005,10ème Arrondissement,Police,385332.53150,591213.51078,./0.png
-3.99166118312724,5.37374851193092,12ème Arrondissement,Police,390129.26521,594067.18107,./0.png
-4.00128591769509,5.33513672100633,8ème Arrondissement,Police,389055.82727,589800.13726,./0.png
-3.98799480943631,5.33522209307159,Brigade de gendarmerie,Gendarme,390528.66507,589807.19808,./0.png
-3.95999868274371,5.35783766678415,18ème Arrondissement,Police,393634.87396,592302.55946,./0.png
-3.99107878309015,5.39864506713525,22ème Arrondissement,Police,390198.26801,596819.54462,./0.png
-3.9658595431725,5.2823364475035,Gendarmerie Camp Commando,Gendarme,392972.39879,583956.53154,./0.png
-3.96976411105243,5.2899068702668,6ème Arrondissement,Police,392540.99518,584794.15365,./0.png
-3.94271895178745,5.30563481109833,20ème Arrondissement,Police,395540.76705,586528.33329,./0.png
-3.98564066734715,5.30617843238852,9ème Arrondissement,Police,390784.41046,586595.83583,./0.png
-3.98948940390976,5.2920454313198,GSPM 2ème Compagnie,Sapeur pompier,390355.41043,585034.03011,./0.png
-3.96378228605673,5.30719824650448,26ème Arrondissement,Police,393206.86960,586704.77021,./0.png
-4.0192846366663,5.31819851879067,Surêté Nationale,Police,387058.23946,587930.77215,./0.png
-4.01938526049324,5.32622359864682,1er Arrondissement,Police,387048.55302,588818.01856,./0.png
-4.02480115381853,5.33767470669833,Ministère de la Défense,Militaire,386450.49440,590085.01409,./0.png
-4.02433175734719,5.31594868089156,Marine Nationale,Marine,386498.52267,587682.96130,./0.png
-4.02624482357794,5.33348161144515,Camp Galliéni,Militaire,386289.74451,589621.70366,./0.png
-4.02100754997645,5.3212280318762,Police Economique,Police,386867.86561,588266.02101,./0.png
-4.01659433046471,5.31902323309603,ONPC,Sapeur pompier,387356.51961,588021.45894,./0.png
-4.02124251489232,5.33015456409205,Police Judiciaire,Police,386843.46060,589252.95452,./0.png
-4.02212892031005,5.33565758237431,Préfecture de police,Police,386746.24294,589861.51466,./0.png
-3.98715885834355,5.26604651595714,Brigade de gendramerie,Gendarme,390609.12495,582159.29135,./0.png
-3.96485415671824,5.25831158723859,5ème Arrondissement,Police,393079.70796,581300.29205,./0.png
-3.93044805112058,5.26266658737307,Camp Militaire GATL,Militaire,396893.47461,581775.97356,./0.png
-3.93415169548348,5.25821696906827,Brigade de gendramerie,Gendarme,396482.28822,581284.66345,./0.png
-3.94391184066751,5.24703472786112,33ème Arrondissement,Police,395398.75994,580050.04452,./0.png
-3.89633861614282,5.24015557740659,24ème Arrondissement,Police,400670.01962,579281.79207,./0.png
-4.01334005524045,5.31072066434685,Garde Républicaine,Militaire,387715.64211,587102.96225,./0.png
-4.00487598101713,5.31140382532378,29ème Arrondissement,Police,388653.73217,587176.96088,./0.png
-4.00418355125273,5.28826016653279,Brigade de gendarmerie,Gendarme,388726.32272,584618.15862,./0.png
-3.99535321649552,5.29797645082339,4ème Arrondissement,Police,389706.63251,585690.77819,./0.png
-4.01505790179862,5.30602570202172,2ème Arrondissement,Police,387524.42353,586584.21456,./0.png
-3.99994839066796,5.30018115149057,Brigade de gendarmerie,Gendarme,389197.79108,585935.34028,./0.png
-4.0993067997938,5.32432470901698,17ème Arrondissement,Police,378191.55730,588623.27996,./0.png
-4.07299519823527,5.33834548092933,16ème Arrondissement,Police,381110.04739,590168.27008,./0.png
-4.06099565251383,5.32990983766557,GSPM 4ème Compagnie,Sapeur pompier,382438.16588,589233.33479,./0.png
-4.10276173753889,5.36752230097138,Brigade de gendramerie,Gendarme,377817.25226,593399.88589,./0.png
-4.05207850580276,5.32671869152432,Brigade de gendramerie,Gendarme,383425.72397,588878.83505,./0.png
-4.05053922148886,5.32713399578348,19ème Arrondissement,Police,383596.37958,588924.45966,./0.png
-4.07602958870971,5.39008833737304,MACA,Prison civile,380783.83691,595889.49696,./0.png
-4.07224741651942,5.36092516692314,23ème Arrondissement,Police,381197.26881,592664.50976,./0.png
-4.11219426715572,5.32489063238004,Académie de la Mer,Marine,376763.50065,588688.40648,./0.png
-3.98450192034839,5.37353570796605,30ème Arrondissement,Police,390922.51273,594042.37300,./0.png
-3.95254618955322,5.31252778571948,Brigade de gendramerie,Gendarme,394452.92044,587292.04947,./0.png
-3.9842218329887,5.28278670434759,31ème Arrondissement,Police,390937.54254,584009.49842,./0.png
-3.94805433184386,5.35568491999912,Ancien camp d'Akouédo,Militaire,394958.02666,592062.50521,./0.png
-4.03024448955017,5.33737153318814,Base ONUCI,Force étrangère,385847.24442,590052.50244,./0.png
